GB/T 25914-2023	GB/T 25914-2010	Onon Sonin Sans
ᠬᠦ	ᠬᠦ᠋	ᠬᠦ᠋
ᠬᠦᠢ	ᠬᠦᠶ	ᠬᠦᠶ
ᠬᠦᠯᠦᠭ᠎ᠦᠨ	ᠬᠦᠯᠦᠭ ᠦᠨ	ᠬᠦᠯᠦᠭ ᠦᠨ
ᠬᠦᠰᠡᠯ᠎ᠢ	ᠬᠦᠰᠡᠯ ᠢ	ᠬᠦᠰᠡᠯ ᠢ
ᠬᠦᠷᠲᠦᠭᠡᠢ	ᠬᠦᠷᠲᠦᠭᠡᠶ	ᠬᠦᠷᠲᠦᠭᠡᠶ
ᠭᠠ	ᠭᠠ	ᠭᠠ
ᠭᠠᠨᠢ	ᠭᠠᠨᠢ	ᠭᠠᠨᠢ
ᠭᠠᠩᠰᠠᠷᠠᠬᠤ	ᠭᠠᠩᠰᠠᠷᠠᠬᠤ	ᠭᠠᠩᠰᠠᠷᠠᠬᠤ
ᠭᠠᠭᠴᠠᠭᠠᠷ	ᠭᠠᠭᠴᠠᠭᠠᠷ	ᠭᠠᠭᠴᠠᠭᠠᠷ
ᠭᠠᠭᠴᠠᠭᠠᠷ᠎ᠢᠶᠠᠨ	ᠭᠠᠭᠴᠠᠭᠠᠷ ᠢᠶᠠᠨ	ᠭᠠᠭᠴᠠᠭᠠᠷ ᠢᠶᠠᠨ
ᠭᠠᠯ	ᠭᠠᠯ	ᠭᠠᠯ
ᠭᠠᠰᠠᠯᠤᠭᠠᠳ	ᠭᠠᠰᠠᠯᠤᠭᠠᠳ	ᠭᠠᠰᠠᠯᠤᠭᠠᠳ
ᠭᠠᠳᠠᠨᠠᠬᠢ	ᠭᠠᠳᠠᠨᠠᠬᠢ	ᠭᠠᠳᠠᠨᠠᠬᠢ
ᠭᠠᠷ᠎ᠢᠶᠠᠨ	ᠭᠠᠷ ᠢᠶᠠᠨ	ᠭᠠᠷ ᠢᠶᠠᠨ
ᠭᠠᠷᠤᠳᠢ	ᠭᠠᠷᠤᠳᠢ	ᠭᠠᠷᠤᠳᠢ
ᠭᠠᠷᠳᠠᠨ	ᠭᠠᠷᠳᠠᠨ	ᠭᠠᠷᠳᠠᠨ
ᠭᠠᠷᠴᠤ	ᠭᠠᠷᠴᠤ	ᠭᠠᠷᠴᠤ
ᠭᠡ	ᠭᠡ	ᠭᠡ
ᠭᠡᠪᠡᠯ	ᠭᠡᠪᠡᠯ	ᠭᠡᠪᠡᠯ
ᠭᠡᠬᠦ᠎ᠳᠦ᠎ᠪᠡᠨ	ᠭᠡᠬᠦ ᠳᠦ ᠪᠡᠨ	ᠭᠡᠬᠦ ᠳᠦ ᠪᠡᠨ
ᠭᠡᠵᠦ	ᠭᠡᠵᠦ	ᠭᠡᠵᠦ
ᠭᠡᠷ᠎ᠦᠳ	ᠭᠡᠷ ᠦᠳ	ᠭᠡᠷ ᠦᠳ
ᠭᠡᠷᠡᠯᠲᠦᠨ᠎ᠡ	ᠭᠡᠷᠡᠯᠲᠦᠨ᠎ᠡ	ᠭᠡᠷᠡᠯᠲᠦᠨ᠎ᠡ
ᠭᠡᠷᠡᠯᠲᠦᠮᠦᠢ	ᠭᠡᠷᠡᠯᠲᠦᠮᠦᠶ	ᠭᠡᠷᠡᠯᠲᠦᠮᠦᠶ
ᠭᠢ	ᠭᠢ	ᠭᠢ
ᠭᠣ	ᠭᠣ	ᠭᠣ
